moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
셜록홈즈 : 그림자 게임,2011-12-21,7168608500,949299,360,25140,abroad,1,512169,action,2,2,PG 15,0,12
애나벨,2014-10-02,7083492943,926027,464,29000,abroad,1,926027,fear,12,2,PG 15,0,10
몬스터 호텔 2,2015-12-24,7029012585,962770,686,12388,abroad,1,973291,animation,6,3,G_rated,2,12
인랑,2018-07-25,7006622673,898945,1085,25427,domestic,0,898945,thriller,11,3,PG 15,0,7
하트 오브 더 씨,2015-12-03,6777420023,809399,535,29219,abroad,1,749235,action,2,3,PG 12,1,12
브리짓 존스의 베이비,2016-09-28,6678585874,820995,509,30736,abroad,1,820995,comedy,0,3,PG 15,0,9
슈퍼배드 2,2013-09-12,6605655500,962862,424,17373,abroad,1,962862,animation,6,2,G_rated,2,9
레지던트 이블: 파멸의 날,2017-01-25,6422202365,765259,599,24450,abroad,1,845717,action,2,3,X_rated,3,1
인시디어스 3,2015-07-09,6396650620,825517,416,20824,abroad,1,700280,fear,12,3,PG 15,0,7
보헤미안 랩소디,2018-10-31,6270535440,723804,732,27689,abroad,1,2233161,drama,4,3,PG 12,1,10
퍼스트맨,2018-10-18,6094765639,665364,1190,40580,abroad,1,286379,sf,7,2,PG 12,1,10
캣츠,2019-12-24,6093167690,728328,1143,22732,abroad,1,728328,animation,6,3,G_rated,2,12
몬스터 호텔,2013-01-17,6080221500,884885,489,16647,abroad,1,973291,animation,6,2,G_rated,2,1
개구쟁이 스머프 2,2013-08-01,5993979500,921788,478,15485,abroad,1,974612,animation,6,3,G_rated,2,8
고질라,2014-05-15,5972847963,709734,610,25335,abroad,1,709734,action,2,2,PG 12,1,5
몬스터 대학교,2013-09-12,5879223500,870605,385,15172,abroad,1,644344,animation,6,3,G_rated,2,9
샤잠!,2019-04-03,5743398797,657294,1148,45003,abroad,1,1234282,action,2,2,PG 12,1,4
명탐정 피카츄,2019-05-09,5730788546,686809,817,25776,abroad,1,1224440,action,2,2,G_rated,2,5
인페르노,2016-10-19,5656281303,689071,754,31809,abroad,1,749235,mystery,9,3,PG 15,0,10
패신저스,2017-01-04,5467466918,668576,608,21517,abroad,1,1206269,adventure,8,3,PG 12,1,1
하늘에서 음식이 내린다면 2,2013-11-21,5411562500,797850,545,16340,abroad,1,726180,animation,6,3,G_rated,2,11
픽셀,2015-07-16,5390909947,681945,557,21307,abroad,1,932025,sf,7,3,PG 12,1,7
설리: 허드슨강의 기적,2016-09-28,5234170754,627102,573,26609,abroad,1,485934,drama,4,3,PG 12,1,9
광대들: 풍문조작단,2019-08-21,5228976088,637461,806,29048,domestic,0,2773699,drama,4,3,PG 12,1,8
앵그리버드 더 무비,2016-05-19,5218111744,680606,661,15812,abroad,1,680606,animation,6,3,G_rated,2,5
컨택트,2017-02-02,5214551521,634150,605,22770,abroad,1,634150,drama,4,3,PG 12,1,2
로그 원: 스타워즈 스토리,2016-12-28,5127537094,596487,907,15441,abroad,1,596487,action,2,3,PG 12,1,12
나를 찾아줘,2019-11-27,5117014620,645082,875,29475,domestic,0,645082,thriller,11,3,PG 15,0,11
그것: 두 번째 이야기,2019-09-04,5112010367,591346,999,25622,abroad,1,591346,thriller,11,3,PG 15,0,9
인비저블맨,2020-02-26,5015895060,575043,776,63076,abroad,1,700280,fear,12,1,PG 15,0,2
스타워즈: 라이즈 오브 스카이워커,2020-01-08,4704790210,507265,957,28695,abroad,1,1346973,action,2,3,PG 12,1,1
스노우 화이트 앤 더 헌츠맨,2012-05-30,4646250000,636631,447,20647,abroad,1,700351,fantasy,3,3,PG 12,1,5
채피,2015-03-12,4620380654,573661,536,24669,abroad,1,890696,action,2,3,PG 15,0,3
메가로돈,2018-08-15,4516122497,527962,601,16459,abroad,1,549368,action,2,2,PG 12,1,8
툼레이더,2018-03-08,4500905762,540410,806,31823,abroad,1,540410,action,2,1,PG 12,1,3
그레이트 월,2017-02-15,4355441358,501486,598,23094,abroad,1,2738003,action,2,3,PG 12,1,2
다크 섀도우,2012-05-10,4326459000,582126,394,18978,abroad,1,1215268,romance,10,3,PG 15,0,5
글래스,2019-01-17,4277452982,466475,837,24194,abroad,1,1012844,drama,4,3,PG 15,0,1
스타 이즈 본,2018-10-09,4197504400,483852,555,25781,abroad,1,483852,drama,4,2,PG 15,0,10
거울나라의 앨리스,2016-09-07,4145733267,513202,515,19585,abroad,1,513202,adventure,8,3,PG 12,1,9
