moviename,openingdate,attendance,screen,playcount,director,actor,openingmonth,country_abroad,country_domestic,distributor_etc_distributor,distributor_major_abroad,distributor_major_domestic,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_drama,genre_etc,genre_fantasy,genre_fear,genre_mystery,genre_romance,genre_sf,genre_thriller,filmrank_G_rated,filmrank_PG 12,filmrank_PG 15,filmrank_X_rated,sales
엣지 오브 투모로우,2014-06-04,4699307,801,94559,2550424,3,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38732961201
다만 악에서 구하소서,2020-08-05,4357803,1998,193842,4357803,3,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,38602260990
월드 워 Z,2013-06-20,5237525,964,100823,2864863,2,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,38555356000
완득이,2011-10-20,5309928,629,117763,3154621,2,10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,38526161500
인사이드 아웃,2015-07-09,4969735,931,84000,4969735,3,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38024694936
주토피아,2016-02-17,4706158,735,131005,4706158,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37096057742
군도: 민란의 시대,2014-07-23,4774931,1394,67237,4747401,2,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36988022499
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,4719872,713,91889,4747401,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36538823500
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4786259,634,84189,3700803,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35841769500
도가니,2011-09-22,4662822,756,88337,5723297,2,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35566854800
아가씨,2016-06-01,4287839,1171,90365,4287839,3,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35211229991
신세계,2013-02-21,4682492,671,90580,3081633,3,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34881330905
어메이징 스파이더맨 2,2014-04-23,4168353,1312,91715,4510738,2,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34869101800
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,4313871,1056,82722,2233161,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34654558766
바람과 함께 사라지다,2012-08-08,4909937,694,78591,2773699,3,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,34614661161
해리포터와 죽음의 성물2,2011-07-13,4400270,757,70380,2946451,3,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34507600000
내 아내의 모든 것,2012-05-17,4598821,563,91773,1590719,3,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34223620500
데드풀 2,2018-05-16,3784602,1576,113288,3586444,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34185664639
베놈,2018-10-03,3888096,1308,116149,3888096,2,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34100211207
판도라,2016-12-07,4313864,1184,90758,4414848,3,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33955398164
반도,2020-07-15,3812250,2575,199048,5455944,2,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33072531280
암수살인,2018-10-03,3789321,1177,126127,2060633,2,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,32995138548
매드 맥스: 분노의 도로,2015-05-14,3843343,799,98824,3843343,3,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32912842162
아이언맨 2,2010-04-29,4425003,921,87665,3141537,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32635195500
타짜-신의 손,2014-09-03,4015361,890,80584,2637086,3,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,32373120927
분노의 질주: 홉스&쇼,2019-08-14,3657536,1311,94896,3586444,3,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32241767793
연가시,2012-07-05,4515833,759,71928,4414848,3,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32175400664
캡틴 아메리카: 윈터 솔져,2014-03-26,3963251,1106,110109,3963251,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31711040385
혹성탈출: 반격의 서막,2014-07-10,4002560,956,72881,3026937,3,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31514053095
쿵푸팬더3,2016-01-28,3984812,1365,97404,4523766,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31340798156
꾼,2017-11-22,4018035,1314,117398,4018035,3,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,31312029795
남한산성,2017-10-03,3849087,1229,71101,5723297,3,10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,31225083792
그래비티,2013-10-17,3194693,636,80584,1626521,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31214018600
국가부도의 날,2018-11-28,3747952,1180,100804,2253073,3,11,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30845862137
미이라,2017-06-06,3689325,1257,105228,3689325,2,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30504689978
조선명탐정 : 사라진 놉의 딸,2015-02-11,3872015,825,80499,3700803,3,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30456879428
82년생 김지영,2019-10-23,3678156,1486,145441,3678156,2,10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30298542310
건축학개론,2012-03-22,4111068,593,106067,4111068,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30222696000
댄싱퀸,2012-01-18,4058225,544,80987,5951226,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30130775500
분노의 질주: 더 익스트림,2017-04-12,3653238,1469,113241,2252577,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29981156348
역린,2014-04-30,3849552,1054,83296,4571493,3,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29894266890
너의 이름은.,2017-01-04,3637608,947,82978,1848288,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29251793156
악인전,2019-05-15,3364712,1307,97351,1873097,3,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29133760150
돈,2019-03-20,3389125,1431,120809,1917918,3,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28870244062
신의 한 수,2014-07-03,3566852,794,77109,2862144,3,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,28812027456
토이 스토리 4,2019-06-20,3400034,1336,85875,3400034,3,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28758452040
인턴,2015-09-24,3610564,659,81552,1922323,2,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,28517727148
박수건달,2013-01-09,3893216,603,60585,3893216,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28343986569
코코,2018-01-11,3510017,1177,85925,2484441,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27685479440
데드풀,2016-02-17,3317196,1036,82521,3586444,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27595618651
