moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
가디언즈 오브 갤럭시,2014-07-31,11098239184,1311190,539,22417,abroad,1,major_abroad,1,1701053,3,PG 12,1,7
다이하드: 굿 데이 투 다이,2013-02-06,10825703000,1438056,459,33055,abroad,1,etc_distributor,2,1438056,3,PG 15,0,2
퓨리,2014-11-20,10367640686,1362114,590,37155,abroad,1,major_abroad,1,1362114,3,PG 12,1,11
폼페이: 최후의 날,2014-02-20,10303127700,1373873,561,43288,abroad,1,major_domestic,0,845717,3,PG 15,0,2
스타트렉 비욘드,2016-08-17,10190375820,1157156,716,38199,abroad,1,major_domestic,0,1523348,3,PG 12,1,8
워크래프트: 전쟁의 서막,2016-06-09,10142271205,1163274,736,34087,abroad,1,major_abroad,1,1220482,3,PG 12,1,6
월드 인베이젼,2011-03-10,9799358000,1307873,441,44241,abroad,1,etc_distributor,2,1100450,3,PG 12,1,3
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,1149628,398,27236,abroad,1,major_abroad,1,1417198,3,G_rated,2,1
악녀,2017-06-08,9739662144,1208081,685,46070,domestic,0,major_domestic,0,1968939,3,X_rated,3,6
소스 코드,2011-05-04,9640238500,1277690,403,38744,abroad,1,major_domestic,0,1220482,2,PG 12,1,5
롱 리브 더 킹: 목포 영웅,2019-06-19,9228798910,1094404,965,38839,domestic,0,etc_distributor,2,1094404,3,PG 15,0,6
퍼시픽 림: 업라이징,2018-03-21,8962712795,1077235,1145,49600,abroad,1,major_abroad,1,1808174,2,PG 15,0,3
토탈 리콜,2012-08-15,8958236000,1219637,448,27089,abroad,1,etc_distributor,2,1219637,3,PG 15,0,8
빅매치,2014-11-27,8952096578,1177438,627,38527,domestic,0,major_domestic,0,1177438,3,PG 15,0,11
쥬만지: 넥스트 레벨,2019-12-11,8774663410,1054963,1195,42083,abroad,1,etc_distributor,2,1381817,3,PG 12,1,12
스카이스크래퍼,2018-07-11,8612111718,1002858,831,40862,abroad,1,major_abroad,1,742455,2,PG 12,1,7
R2B: 리턴투베이스,2012-08-15,8602921371,1201944,539,32881,domestic,0,major_domestic,0,1201944,3,PG 15,0,8
스타워즈: 라스트 제다이,2017-12-14,8535886061,946547,1107,30914,abroad,1,major_abroad,1,555288,3,PG 12,1,12
지오스톰,2017-10-19,8480864614,1028384,854,35453,abroad,1,major_abroad,1,1028384,3,PG 12,1,10
회사원,2012-10-11,8321175000,1110523,549,41275,domestic,0,major_domestic,0,1110523,2,X_rated,3,10
존 윅 3: 파라벨룸,2019-06-26,8205015858,1004365,849,29819,abroad,1,etc_distributor,2,1004365,1,X_rated,3,6
특수본,2011-11-24,8096052500,1118258,471,40881,domestic,0,major_domestic,0,1118258,3,PG 15,0,11
가디언즈,2012-11-29,8083010500,1056250,470,21045,abroad,1,major_domestic,0,1701053,3,PG 12,1,11
엑스맨: 다크 피닉스,2019-06-05,7649216640,862744,991,29386,abroad,1,etc_distributor,2,862744,3,PG 12,1,6
매그니피센트 7,2016-09-14,7633490421,921317,579,27648,abroad,1,major_abroad,1,921317,3,PG 15,0,9
타이탄의 분노,2012-03-29,7591124500,893027,535,33580,abroad,1,major_abroad,1,1100450,3,PG 12,1,3
월요일이 사라졌다,2018-02-22,7489885100,903175,381,24247,abroad,1,etc_distributor,2,586342,3,PG 15,0,2
맨 인 블랙: 인터내셔널,2019-06-12,7464209570,851917,1151,40520,abroad,1,major_domestic,0,2252577,2,PG 12,1,6
본 레거시,2012-09-06,7412233000,1015711,585,31628,abroad,1,major_abroad,1,1015711,3,PG 15,0,9
로보캅,2014-02-13,7299641958,979509,627,29686,abroad,1,major_abroad,1,979509,3,PG 12,1,2
레전드 오브 타잔,2016-06-29,7196970717,858402,593,28021,abroad,1,major_abroad,1,2946451,3,PG 12,1,6
셜록홈즈 : 그림자 게임,2011-12-21,7168608500,949299,360,25140,abroad,1,major_abroad,1,512169,2,PG 15,0,12
미드웨이,2019-12-31,7143163010,824836,842,32902,abroad,1,etc_distributor,2,965055,3,PG 15,0,12
하트 오브 더 씨,2015-12-03,6777420023,809399,535,29219,abroad,1,major_abroad,1,749235,3,PG 12,1,12
투어리스트,2010-12-09,6728872000,901843,418,26842,abroad,1,etc_distributor,2,901843,2,PG 15,0,12
베이비 드라이버,2017-09-14,6699906214,822769,778,40531,abroad,1,etc_distributor,2,822769,3,PG 15,0,9
디스 민즈 워,2012-02-29,6661435000,873396,351,32790,abroad,1,etc_distributor,2,873396,3,PG 15,0,2
레지던트 이블: 파멸의 날,2017-01-25,6422202365,765259,599,24450,abroad,1,major_abroad,1,845717,3,X_rated,3,1
물괴,2018-09-12,6106452954,723622,1183,46022,domestic,0,major_domestic,0,925955,3,PG 15,0,9
헝거게임: 더 파이널,2015-11-18,6069167163,806520,661,26973,abroad,1,major_domestic,0,928878,3,PG 15,0,11
고질라,2014-05-15,5972847963,709734,610,25335,abroad,1,major_abroad,1,709734,2,PG 12,1,5
런던 해즈 폴른,2016-03-10,5908367979,731584,526,37569,abroad,1,etc_distributor,2,731584,3,PG 15,0,3
A-특공대,2010-06-10,5795794000,777985,323,26460,abroad,1,etc_distributor,2,777985,3,PG 15,0,6
잭 리처,2013-01-17,5758577000,784031,431,19868,abroad,1,major_domestic,0,697564,2,PG 15,0,1
샤잠!,2019-04-03,5743398797,657294,1148,45003,abroad,1,major_abroad,1,1234282,2,PG 12,1,4
명탐정 피카츄,2019-05-09,5730788546,686809,817,25776,abroad,1,major_abroad,1,1224440,2,G_rated,2,5
트랜센던스,2014-05-14,5478536500,696436,417,23243,abroad,1,major_domestic,0,696436,3,PG 12,1,5
로그 원: 스타워즈 스토리,2016-12-28,5127537094,596487,907,15441,abroad,1,major_abroad,1,596487,3,PG 12,1,12
이스케이프 룸,2019-03-14,5007420664,563114,850,29219,abroad,1,etc_distributor,2,558817,2,PG 15,0,3
아이 엠 넘버 포,2011-02-24,4955215500,654386,284,22145,abroad,1,etc_distributor,2,564847,3,PG 12,1,2
우는 남자,2014-06-04,4924852800,603495,508,22322,domestic,0,major_domestic,0,2347992,2,X_rated,3,6
나쁜 녀석들: 포에버,2020-01-15,4880576760,547775,896,29888,abroad,1,etc_distributor,2,547775,2,X_rated,3,1
생텀,2011-02-10,4828519000,465039,323,16998,abroad,1,etc_distributor,2,465039,3,PG 15,0,2
레지던트 이블 5 : 최후의 심판,2012-09-13,4757460500,558433,368,24599,abroad,1,etc_distributor,2,845717,1,X_rated,3,9
황제를 위하여,2014-06-11,4754501771,592435,423,26736,domestic,0,etc_distributor,2,592435,3,X_rated,3,6
스타워즈: 라이즈 오브 스카이워커,2020-01-08,4704790210,507265,957,28695,abroad,1,major_abroad,1,1346973,3,PG 12,1,1
잭 리처: 네버 고 백,2016-11-30,4638072258,611097,667,23659,abroad,1,major_domestic,0,697564,2,PG 15,0,11
채피,2015-03-12,4620380654,573661,536,24669,abroad,1,major_abroad,1,890696,3,PG 15,0,3
인 타임,2011-10-27,4579554500,616943,304,21836,abroad,1,etc_distributor,2,616943,3,PG 12,1,10
메가로돈,2018-08-15,4516122497,527962,601,16459,abroad,1,major_abroad,1,549368,2,PG 12,1,8
콜롬비아나,2011-08-31,4514882000,598365,397,25622,abroad,1,major_domestic,0,1589298,2,PG 15,0,8
툼레이더,2018-03-08,4500905762,540410,806,31823,abroad,1,major_abroad,1,540410,1,PG 12,1,3
국제수사,2020-09-29,4496603760,537470,1074,41108,domestic,0,major_domestic,0,460403,3,PG 15,0,9
그린 존,2010-03-25,4460075000,596403,268,27563,abroad,1,etc_distributor,2,1604184,2,PG 15,0,3
메카닉: 리크루트,2016-08-31,4458200800,551897,320,17497,abroad,1,etc_distributor,2,551897,3,PG 15,0,8
그레이트 월,2017-02-15,4355441358,501486,598,23094,abroad,1,major_abroad,1,2738003,3,PG 12,1,2
PMC: 더 벙커,2018-12-26,4320591057,492517,893,23116,domestic,0,major_domestic,0,492517,2,PG 15,0,12
퍼스트 어벤져,2011-07-28,4161976500,514309,362,13941,abroad,1,major_domestic,0,389859,5,PG 12,1,7
몬스터,2014-03-13,4138207515,526557,527,25460,domestic,0,major_domestic,0,845717,2,PG 12,1,3
마법사의 제자,2010-07-21,4057522000,570775,300,19017,abroad,1,etc_distributor,2,549368,1,G_rated,2,7
발레리안: 천 개 행성의 도시,2017-08-30,4047756408,511931,629,23405,abroad,1,etc_distributor,2,511931,2,PG 12,1,8
화이트 하우스 다운,2013-06-27,4015707500,569500,480,19850,abroad,1,major_abroad,1,965055,3,PG 15,0,6
트리플 엑스 리턴즈,2017-02-08,3967335095,475309,590,20692,abroad,1,major_domestic,0,564847,3,PG 15,0,2
동네사람들,2018-11-07,3818515112,461693,731,23598,domestic,0,etc_distributor,2,461693,2,PG 15,0,11
버즈 오브 프레이(할리 퀸의 황홀한 해방),2020-02-05,3558359190,402035,963,38319,abroad,1,major_abroad,1,402035,1,PG 15,0,2
레드,2010-11-03,3550436000,482053,317,22481,abroad,1,etc_distributor,2,742455,3,PG 15,0,11
헌츠맨: 윈터스 워,2016-04-13,3544262706,445009,557,25789,abroad,1,major_abroad,1,445009,3,PG 12,1,4
원더 우먼 1984,2020-12-23,3490431460,390986,2260,45347,abroad,1,major_abroad,1,1278193,3,PG 12,1,12
킹 아서: 제왕의 검,2017-05-17,3373678655,415714,588,20315,abroad,1,major_abroad,1,512169,2,PG 12,1,5
"협녀, 칼의 기억",2015-08-13,3360045489,431310,572,16099,domestic,0,major_domestic,0,458502,3,PG 15,0,8
범블비,2018-12-25,3334865955,394493,766,18199,abroad,1,major_domestic,0,394493,2,PG 12,1,12
닌자터틀,2014-08-28,3321120147,400329,479,15188,abroad,1,major_domestic,0,400329,3,PG 12,1,8
다이버전트,2014-04-16,3297769011,424045,511,21396,abroad,1,major_domestic,0,353353,3,PG 12,1,4
제미니 맨,2019-10-09,3295969230,387342,845,26044,abroad,1,major_domestic,0,987857,1,PG 12,1,10
언스토퍼블,2010-11-10,3273318500,452320,297,21495,abroad,1,etc_distributor,2,452320,2,PG 12,1,11
익스펜더블 2,2012-09-06,3208867228,444434,393,20126,abroad,1,major_domestic,0,444434,3,PG 15,0,9
워리어스 웨이,2010-12-01,3097461500,432072,433,23127,abroad,1,etc_distributor,2,432072,3,PG 15,0,12
고질라: 킹 오브 몬스터,2019-05-29,3085036318,359041,923,15867,abroad,1,major_abroad,1,359041,3,PG 12,1,5
에베레스트,2015-09-24,3055119748,332180,331,9343,abroad,1,major_abroad,1,332180,3,PG 15,0,9
판타스틱 4,2015-08-20,3029310600,399667,451,16241,abroad,1,etc_distributor,2,392032,3,PG 12,1,8
익스펜더블,2010-08-19,2973224000,390438,259,15798,abroad,1,etc_distributor,2,1056097,3,PG 15,0,8
어쌔신 크리드,2017-01-11,2899784921,355913,566,16218,abroad,1,etc_distributor,2,355913,3,PG 15,0,1
프롬 파리 위드 러브,2010-03-11,2804967500,369394,294,22348,abroad,1,etc_distributor,2,369394,2,X_rated,3,3
아메리칸 스나이퍼,2015-01-14,2800001438,344766,308,10769,abroad,1,major_abroad,1,485934,3,X_rated,3,1
그린랜드,2020-09-29,2777724520,325869,779,26421,abroad,1,etc_distributor,2,325869,2,PG 12,1,9
헬보이,2019-04-10,2777106321,323198,726,26507,abroad,1,etc_distributor,2,323198,2,X_rated,3,4
공자 춘추전국시대,2010-02-11,2774370000,371607,236,15346,abroad,1,etc_distributor,2,371607,3,PG 12,1,2
링컨: 뱀파이어 헌터,2012-08-30,2750911500,344876,337,16372,abroad,1,etc_distributor,2,872588,3,X_rated,3,8
론 레인저,2013-07-04,2750149500,387527,401,14155,abroad,1,major_abroad,1,408764,3,PG 15,0,7
치외법권,2015-08-27,2664941005,346483,446,15297,domestic,0,etc_distributor,2,346483,2,PG 15,0,8
잭 라이언 : 코드네임 쉐도우,2014-01-16,2395391500,327589,419,12908,abroad,1,major_domestic,0,961906,3,PG 12,1,1
킬러스,2010-09-02,2386700000,322888,282,17930,abroad,1,major_domestic,0,322888,2,PG 15,0,9
모털 엔진,2018-12-05,2324362119,267896,661,15454,abroad,1,major_abroad,1,267896,3,PG 12,1,12
포인트 브레이크,2016-01-07,2323707051,294320,409,12111,abroad,1,etc_distributor,2,294320,3,PG 15,0,1
런 올 나이트,2015-03-19,2293671495,289534,411,15865,abroad,1,major_abroad,1,287798,3,X_rated,3,3
커뮤터,2018-01-24,2286690955,286062,575,16145,abroad,1,etc_distributor,2,287798,2,PG 15,0,1
검우강호,2010-10-14,2242810500,312283,344,20571,abroad,1,etc_distributor,2,312283,3,PG 15,0,10
프랑켄슈타인: 불멸의 영웅,2014-02-06,2175466123,299205,378,12113,abroad,1,major_domestic,0,299205,3,PG 12,1,2
헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,2122205602,269510,297,10624,abroad,1,major_domestic,0,586342,3,X_rated,3,2
