moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
넛잡 2,2017-10-03,3069388100,411787,526,10449,domestic,0,major_domestic,0,411787,3,G_rated,2,10
러빙 빈센트,2017-11-09,3061456861,384540,272,14651,abroad,1,etc_distributor,2,384540,3,PG 15,0,11
랭고,2011-03-03,3043816000,430001,314,15179,abroad,1,major_domestic,0,408764,1,G_rated,2,3
명탐정 코난 : 제로의 집행인,2018-08-08,3014920361,396230,542,8770,abroad,1,major_domestic,0,396230,3,PG 12,1,8
피터 래빗,2018-05-16,3006258100,388300,599,12522,abroad,1,etc_distributor,2,388300,3,G_rated,2,5
점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,2941541400,375312,672,6495,domestic,0,major_domestic,0,713082,3,G_rated,2,12
뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,2902090600,391760,544,10893,domestic,0,major_domestic,0,661551,3,G_rated,2,12
천재 강아지 미스터 피바디,2014-04-24,2859791400,385552,533,10520,abroad,1,major_domestic,0,385552,3,G_rated,2,4
명탐정 코난 : 이차원의 저격수,2014-08-06,2768375000,398606,299,6834,abroad,1,major_domestic,0,499714,2,PG 12,1,8
눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,2694247700,366442,526,10639,abroad,1,etc_distributor,2,432381,3,G_rated,2,1
프렌즈: 몬스터섬의비밀,2011-12-29,2668476500,364732,290,10153,abroad,1,etc_distributor,2,364732,3,G_rated,2,12
아담스 패밀리,2019-11-07,2636891140,329955,802,11242,abroad,1,major_abroad,1,329955,3,G_rated,2,11
가디언의 전설,2010-10-28,2613934200,302318,267,14421,abroad,1,major_abroad,1,1631960,3,G_rated,2,10
아스트로 보이-아톰의 귀환,2010-01-13,2585585500,393433,278,15793,abroad,1,etc_distributor,2,393433,3,G_rated,2,1
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,2467275080,330725,403,6607,abroad,1,major_domestic,0,440824,3,G_rated,2,7
명탐정 코난 : 수평선상의 음모,2013-08-07,2465123000,389871,316,8196,abroad,1,major_domestic,0,504145,2,PG 12,1,8
스폰지밥 3D,2015-02-18,2458946200,325016,357,8415,abroad,1,major_domestic,0,325016,3,G_rated,2,2
아기배달부 스토크,2016-12-07,2436955700,322354,538,9388,abroad,1,major_abroad,1,322354,3,G_rated,2,12
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,2011-05-05,2357563000,351742,306,7013,abroad,1,major_domestic,0,351742,3,G_rated,2,5
뮨: 달의 요정,2015-09-24,2333203700,319384,365,6895,abroad,1,etc_distributor,2,319384,3,G_rated,2,9
늑대아이,2012-09-13,2296193261,332702,226,10768,abroad,1,etc_distributor,2,332702,3,G_rated,2,9
비행기 2: 소방구조대,2014-08-13,2246970700,311456,341,6562,abroad,1,major_abroad,1,311456,3,G_rated,2,8
천로역정: 천국을 찾아서,2019-06-13,2202838010,296588,381,8329,abroad,1,etc_distributor,2,296588,2,G_rated,2,6
오즈의 마법사: 돌아온 도로시,2015-02-12,2176416000,298482,330,7787,abroad,1,etc_distributor,2,298482,3,G_rated,2,2
