moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
샌 안드레아스,2015-06-03,14435844152,1716455,847,62016,major_abroad,1,1417198,action,2,3,PG 12,1,6
토이 스토리 3,2010-08-05,14319338600,1458865,393,28615,etc_distributor,2,2484441,animation,6,3,G_rated,2,8
007 스펙터,2015-11-11,14301476030,1820760,1105,51940,major_abroad,1,1691307,action,2,3,PG 15,0,11
킬러의 보디가드,2017-08-30,14020395800,1721757,482,42002,etc_distributor,2,1056097,action,2,3,PG 15,0,8
콩: 스컬 아일랜드,2017-03-08,13990563383,1689717,984,56425,major_abroad,1,1689717,action,2,3,PG 12,1,3
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13877029723,1754375,1453,56412,major_abroad,1,1027905,animation,6,3,G_rated,2,1
라스트 에어벤더,2010-08-19,13854892500,1371164,399,32416,major_domestic,0,1012844,fantasy,3,3,G_rated,2,8
쥬만지: 새로운 세계,2018-01-03,13814824864,1708672,791,41806,etc_distributor,2,1381817,action,2,3,PG 12,1,1
아쿠아맨,2018-12-19,13659344323,1546297,1158,50500,major_abroad,1,1825151,action,2,3,PG 12,1,12
이미테이션 게임,2015-02-17,13655929120,1743963,541,44782,etc_distributor,2,1206269,drama,4,3,PG 15,0,2
23 아이덴티티,2017-02-22,13609648135,1675819,952,44104,major_abroad,1,1012844,fear,12,2,PG 15,0,2
닥터 두리틀,2020-01-08,13449206760,1607082,1290,68634,major_abroad,1,1607082,comedy,0,1,G_rated,2,1
300: 제국의 부활,2014-03-06,13395159700,1593116,720,54902,major_abroad,1,1593116,action,2,3,X_rated,3,3
분노의 질주: 더 맥시멈,2013-05-22,13210338042,1790916,657,44371,major_abroad,1,1523348,action,2,3,PG 15,0,5
퍼시 잭슨과 번개 도둑,2010-02-11,13158158500,1846180,334,43667,etc_distributor,2,932025,fantasy,3,3,PG 12,1,2
터보,2013-07-25,13116737000,1924414,634,28783,major_domestic,0,1924414,animation,6,3,G_rated,2,7
스타트렉 다크니스,2013-05-30,12964828000,1605271,607,40504,major_domestic,0,1346973,action,2,3,PG 12,1,5
인디펜던스 데이 : 리써전스,2016-06-22,12770879840,1500830,926,47432,etc_distributor,2,965055,action,2,3,PG 12,1,6
언터처블: 1%의 우정,2012-03-22,12735040000,1720472,454,48976,major_domestic,0,1720472,comedy,0,2,PG 12,1,3
어스,2019-03-27,12586771104,1475087,1132,58522,major_abroad,1,1475087,thriller,11,3,PG 15,0,3
마다가스카3 : 이번엔 서커스다!,2012-06-06,12521043500,1629799,564,34150,major_domestic,0,1571069,animation,6,3,G_rated,2,6
블랙 스완,2011-02-24,12484661500,1623310,344,46840,etc_distributor,2,1623310,fear,12,3,X_rated,3,2
엑소더스: 신들과 왕들,2014-12-03,12442681926,1511195,865,43742,etc_distributor,2,1263301,drama,4,2,PG 12,1,12
드래곤 길들이기 3,2019-01-30,12346432876,1507922,971,42407,major_abroad,1,2356796,animation,6,3,G_rated,2,1
분노의 질주: 언리미티드,2011-04-20,12292868000,1621973,457,43329,major_abroad,1,1523348,action,2,3,PG 15,0,4
아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704,1648110,501,26899,etc_distributor,2,1648110,animation,6,3,G_rated,2,7
말레피센트 2,2019-10-17,12191395690,1444952,1108,63768,major_abroad,1,1964124,fantasy,3,3,PG 12,1,10
램페이지,2018-04-12,11951980109,1385511,909,55295,major_abroad,1,1417198,action,2,3,PG 12,1,4
신들의 전쟁,2011-11-10,11726682000,1338411,525,46169,major_domestic,0,1338411,action,2,3,X_rated,3,11
오션스8,2018-06-13,11700157266,1335829,837,55372,major_abroad,1,971892,action,2,3,PG 12,1,6
로빈 후드,2010-05-13,11560588500,1570681,544,41953,major_abroad,1,1570681,action,2,3,PG 15,0,5
마다가스카의 펭귄,2014-12-31,11450482159,1512340,615,27171,major_domestic,0,1571069,animation,6,3,G_rated,2,12
벤허,2016-09-14,11410860395,1400301,717,38941,major_domestic,0,872588,adventure,8,3,PG 12,1,9
오블리비언,2013-04-11,11165841500,1515356,634,47871,major_abroad,1,1515356,action,2,3,PG 15,0,4
가디언즈 오브 갤럭시,2014-07-31,11098239184,1311190,539,22417,major_abroad,1,1701053,action,2,3,PG 12,1,7
해피 데스데이,2017-11-08,11004455402,1382650,714,52101,major_abroad,1,1382650,fear,12,2,X_rated,3,11
나니아 연대기: 새벽 출정호의 항해,2010-12-08,10889884000,1140201,493,32481,etc_distributor,2,1140201,fantasy,3,3,G_rated,2,12
