moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
리얼 스틸,2011-10-12,26566677000,3579666,603,87650,abroad,1,etc_distributor,2,2340672,action,2,3,PG 12,1,10
터미네이터 제니시스,2015-07-02,26556715129,3240370,1113,77590,abroad,1,major_domestic,0,3140129,action,2,3,PG 15,0,7
분노의 질주: 더 세븐,2015-04-01,26454098694,3247955,983,93612,abroad,1,major_abroad,1,1825151,action,2,3,PG 15,0,4
전우치,2009-12-23,26345113000,3611472,556,73175,domestic,0,major_domestic,0,3611472,drama,4,3,PG 15,0,12
부러진 화살,2012-01-18,25878629500,3451025,530,71560,domestic,0,major_domestic,0,2087528,drama,4,3,PG 15,0,1
아이 캔 스피크,2017-09-21,25526451186,3279296,1140,93012,domestic,0,major_domestic,0,2137558,drama,4,2,PG 12,1,9
이끼,2010-07-14,25437300500,3350303,740,58198,domestic,0,major_domestic,0,1989220,drama,4,4,X_rated,3,7
서치,2018-08-29,25283364845,2949944,1097,95758,abroad,1,etc_distributor,2,2949944,thriller,11,3,PG 15,0,8
나우 유 씨 미 2,2016-07-13,25116690113,3100113,1200,56981,abroad,1,major_domestic,0,1875958,crime,5,3,PG 12,1,7
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,24975495122,3049894,1357,85225,abroad,1,major_abroad,1,1964124,action,2,3,PG 12,1,5
가장 보통의 연애,2019-10-02,24885803430,2924563,1073,111527,domestic,0,major_domestic,0,2924563,romance,10,2,PG 15,0,10
인크레더블 2,2018-07-18,24554683588,3033052,1605,70934,abroad,1,major_abroad,1,1944199,animation,6,3,G_rated,2,7
덩케르크,2017-07-20,24550541348,2788732,1252,65906,abroad,1,major_abroad,1,3583005,action,2,3,PG 12,1,7
엑스맨: 아포칼립스,2016-05-25,24467887950,2938818,1262,66471,abroad,1,etc_distributor,2,2233161,action,2,3,PG 12,1,5
슈퍼배드 3,2017-07-26,24217091019,3324874,1057,59388,abroad,1,major_abroad,1,2175962,animation,6,3,G_rated,2,7
스타워즈: 깨어난 포스,2015-12-17,24149478540,2803234,940,56425,abroad,1,major_abroad,1,1346973,action,2,3,PG 12,1,12
드래곤 길들이기 2,2014-07-23,23979935189,3000056,829,51924,abroad,1,major_domestic,0,2356796,animation,6,3,G_rated,2,7
포화속으로,2010-06-16,23831958600,3330324,742,80091,domestic,0,major_domestic,0,5189983,etc,1,6,PG 12,1,6
프리즌,2017-03-23,23790276987,2931897,1047,89024,domestic,0,major_domestic,0,2931897,adventure,8,3,PG 15,0,3
말모이,2019-01-09,23685091520,2812877,1203,87591,domestic,0,major_domestic,0,2812877,drama,4,2,PG 12,1,1
너의 결혼식,2018-08-22,23676244369,2820969,970,98193,domestic,0,etc_distributor,2,2820969,romance,10,2,PG 12,1,8
스물,2015-03-25,23563421686,3044811,926,100161,domestic,0,major_domestic,0,6834886,comedy,0,3,PG 15,0,3
앤트맨,2015-09-03,23529209937,2841795,949,74649,abroad,1,major_abroad,1,4144964,action,2,3,PG 12,1,9
가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686,2735721,1218,63789,abroad,1,major_abroad,1,1701053,action,2,3,PG 12,1,5
타워,2012-12-25,22996601500,3166425,638,58869,domestic,0,major_domestic,0,3166425,thriller,11,3,X_rated,3,12
퀵,2011-07-20,22960890000,3125069,514,60714,domestic,0,major_domestic,0,3125069,action,2,3,PG 15,0,7
슈렉 포에버,2010-07-01,22809145100,2223851,561,51317,abroad,1,major_domestic,0,1360205,animation,6,3,G_rated,2,7
토르: 다크 월드,2013-10-30,22525808500,3039889,733,78095,abroad,1,major_abroad,1,3140129,action,2,3,PG 12,1,10
방자전,2010-06-02,22490024000,2985483,495,67562,domestic,0,major_domestic,0,2213728,drama,4,3,X_rated,3,6
극비수사,2015-06-18,22389535897,2860786,894,66211,domestic,0,major_domestic,0,1917958,drama,4,2,PG 15,0,6
표적,2014-04-30,22256769300,2841828,716,72255,domestic,0,major_domestic,0,1662172,action,2,3,PG 15,0,4
빅 히어로,2015-01-21,21993119765,2801949,825,62229,abroad,1,major_abroad,1,2801949,animation,6,3,G_rated,2,1
고지전,2011-07-20,21968557600,2945137,585,53738,domestic,0,major_domestic,0,6849425,etc,1,3,PG 15,0,7
미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,2718158,904,70451,abroad,1,etc_distributor,2,1215268,fantasy,3,3,PG 12,1,9
타이탄,2010-04-01,21796996500,2642483,694,87911,abroad,1,major_abroad,1,3721359,romance,10,2,PG 15,0,4
친구 2,2013-11-14,21795237513,2969900,968,69856,domestic,0,major_domestic,0,1917958,etc,1,3,X_rated,3,11
감기,2013-08-14,21774884000,3117859,806,55046,domestic,0,etc_distributor,2,3117859,drama,4,3,PG 15,0,8
목격자,2018-08-15,21737061097,2524720,1021,71403,domestic,0,major_domestic,0,2524720,thriller,11,3,X_rated,3,8
호빗: 뜻밖의 여정,2012-12-13,21724069066,2605124,1028,44977,abroad,1,major_abroad,1,1682629,fantasy,3,3,PG 12,1,12
하모니,2010-01-28,21641750000,3018131,384,77723,domestic,0,major_domestic,0,2368826,drama,4,3,PG 12,1,1
메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,2744413,804,58725,abroad,1,etc_distributor,2,2618857,action,2,3,PG 12,1,9
정글북,2016-06-09,21517647134,2537438,924,59041,abroad,1,major_abroad,1,2537438,animation,6,2,G_rated,2,6
레드: 더 레전드,2013-07-18,21511371970,3004649,739,55733,abroad,1,major_domestic,0,3004649,action,2,3,PG 15,0,7
트랜스포머: 최후의 기사,2017-06-21,21501959228,2614601,1739,87234,abroad,1,major_domestic,0,5231726,action,2,3,PG 12,1,6
메이즈 러너,2014-09-18,21489367677,2812427,655,71048,abroad,1,etc_distributor,2,2618857,action,2,3,PG 12,1,9
곤지암,2018-03-28,21442194144,2675575,1124,88477,domestic,0,major_domestic,0,2675575,fear,12,3,PG 15,0,3
살인자의 기억법,2017-09-06,21375287492,2658589,1064,88686,domestic,0,major_domestic,0,3723063,crime,5,3,PG 15,0,9
솔트,2010-07-29,21360288000,2869938,556,53679,abroad,1,etc_distributor,2,2869938,action,2,1,PG 15,0,7
제이슨 본,2016-07-27,21253434663,2611966,827,39806,abroad,1,major_abroad,1,1604184,action,2,3,PG 15,0,7
26년,2012-11-29,21111878145,2940475,611,50044,domestic,0,etc_distributor,2,1678389,action,2,3,PG 15,0,11
부당거래,2010-10-28,20996302500,2722996,502,69703,domestic,0,major_domestic,0,7576385,crime,5,3,X_rated,3,10
블랙머니,2019-11-13,20863134010,2478964,1141,77469,domestic,0,etc_distributor,2,2087528,crime,5,2,PG 12,1,11
보안관,2017-05-03,20844488409,2588628,1091,63709,domestic,0,major_domestic,0,2588628,crime,5,3,PG 15,0,5
신비한 동물들과 그린델왈드의 범죄,2018-11-14,20816583118,2414062,1601,76846,abroad,1,major_abroad,1,2946451,adventure,8,3,PG 12,1,11
지금 만나러 갑니다,2018-03-14,20800916128,2602273,1191,97482,domestic,0,major_domestic,0,2602273,romance,10,2,PG 12,1,3
도리를 찾아서,2016-07-06,20703899933,2601734,1091,55110,abroad,1,major_abroad,1,1719930,animation,6,3,G_rated,2,7
혹성탈출: 진화의 시작,2011-08-17,20629757000,2773794,514,61229,abroad,1,etc_distributor,2,2773794,action,2,3,PG 12,1,8
히트맨,2020-01-22,20614278000,2406232,1122,87782,domestic,0,major_domestic,0,2406232,comedy,0,3,PG 15,0,1
아수라,2016-09-28,20576226662,2594028,1278,68040,domestic,0,major_domestic,0,2594028,action,2,3,X_rated,3,9
증인,2019-02-13,20482789331,2534748,1047,89564,domestic,0,major_domestic,0,3154621,drama,4,2,PG 12,1,2
퍼시픽 림,2013-07-11,20477374512,2539113,1005,55655,abroad,1,major_abroad,1,1808174,action,2,2,PG 15,0,7
탐정 : 더 비기닝,2015-09-24,20463956973,2625686,764,54995,domestic,0,major_domestic,0,2317636,comedy,0,2,PG 15,0,9
내가 살인범이다,2012-11-08,20392266000,2729798,547,58409,domestic,0,major_domestic,0,1968939,action,2,2,X_rated,3,11
오싹한 연애,2011-12-01,20289813500,2777998,544,54630,domestic,0,major_domestic,0,2777998,romance,10,2,PG 12,1,12
