moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
덕혜옹주,2016.8.3,44393828109,5599229,964,97312,한국,롯데쇼핑㈜롯데엔터테인먼트,허진호,서사,"손예진(덕혜옹주), 박해일(김장한)",[국내] 12세 관람가
청년경찰,2017.8.9,44381150516,5653270,1102,118544,한국,롯데쇼핑㈜롯데엔터테인먼트,김주환,액션,"박서준(기준), 강하늘(희열)",[국내] 15세 관람가
완벽한 타인,2018.10.31,44350807074,5293435,1325,143055,한국,롯데컬처웍스(주)롯데엔터테인먼트,이재규,드라마,"유해진(태수), 조진웅(석호), 이서진(준모)",[국내] 15세 관람가
쿵푸팬더 2,2011.5.26,44298708500,5062720,948,101338,미국,(주)씨제이이엔엠,여인영,애니메이션,"잭 블랙(팬더곰, 포 목소리), 더스틴 호프만(렛서팬더/사부, 시푸 목소리), 성룡(원숭이, 몽키 목소리)",[국내] 전체 관람가 [해외] PG
트랜스포머: 사라진 시대,2014.6.25,44012752845,5295836,1602,107875,미국,(주)씨제이이엔엠,마이클 베이,SF,"마크 월버그(케이드 예거), 니콜라 펠츠(테사 예거), 잭 레이너(셰인)",[국내] 12세 관람가
더 킹,2017.1.18,43488814535,5317693,1310,107983,한국,(주)넥스트엔터테인먼트월드(NEW),미하 로사,전쟁,"보리스 스직(유제프 피우수트스키), 막달레나 복자스카(마리아 피우수트스키)",[국내] 15세 관람가
독전,2018.5.22,43485551113,5063684,1532,140007,한국,(주)넥스트엔터테인먼트월드(NEW),이해영,범죄,"조진웅(원호), 류준열(락), 김주혁(진하림)",[국내] 15세 관람가
1987,2017.12.27,42915772108,5290310,1122,110607,한국,(주)씨제이이엔엠,장준환,드라마,"김윤석(박처장), 하정우(공안부장), 유해진(한병용)",[국내] 15세 관람가
공작,2018.8.8,42788851176,4974520,1317,99001,한국,(주)씨제이이엔엠,장이머우,범죄,"장한위, 위허웨이, 주아문",[국내] 15세 관람가
검은 사제들,2015.11.5,42405282092,5442128,1109,131155,한국,(주)씨제이이엔엠,돈 E. 폰트르로이,공포,"토빈 벨, 랜디 셸리",[국내] 15세 관람가
