영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
비긴 어게인,2014.8.13,27098834504.0,"3,427,524",525,"82,684",미국,판씨네마(주)
드래곤 길들이기,2010.5.20,27040606000.0,"2,562,412",563,"57,264",미국,"유니버설픽쳐스인터내셔널 코리아(유),CJ ENM"
끝까지 간다,2014.5.29,27007303900.0,"3,450,305",645,"84,875",한국,(주)쇼박스
탐정: 리턴즈,2018.6.13,26909459678.0,"3,152,872","1,137","107,907",한국,(주)씨제이이엔엠
리얼 스틸,2011.10.12,26566677000.0,"3,579,666",603,"87,650",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
터미네이터 제니시스,2015.7.2,26556715129.0,"3,240,370","1,113","77,590",미국,롯데쇼핑㈜롯데엔터테인먼트
분노의 질주: 더 세븐,2015.4.1,26454098694.0,"3,247,955",983,"93,612",미국,유니버설픽쳐스인터내셔널 코리아(유)
전우치,2009.12.23,26345113000.0,"3,611,472",556,"73,175",한국,CJ ENM
부러진 화살,2012.1.18,25878629500.0,"3,451,025",530,"71,560",한국,(주)넥스트엔터테인먼트월드(NEW)
아이 캔 스피크,2017.9.21,25526451186.0,"3,279,296","1,140","93,012",한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
이끼,2010.7.14,25437300500.0,"3,350,303",740,"58,198",한국,CJ ENM
서치,2018.8.29,25283364845.0,"2,949,944","1,097","95,758",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
나우 유 씨 미 2,2016.7.13,25116690113.0,"3,100,113","1,200","56,981",미국,롯데쇼핑㈜롯데엔터테인먼트
캐리비안의 해적: 죽은 자는 말이 없다,2017.5.24,24975495122.0,"3,049,894","1,357","85,225",미국,월트디즈니컴퍼니코리아 유한책임회사
가장 보통의 연애,2019.10.2,24885803430.0,"2,924,563","1,073","111,527",한국,(주)넥스트엔터테인먼트월드(NEW)
인크레더블 2,2018.7.18,24554683588.0,"3,033,052","1,605","70,934",미국,월트디즈니컴퍼니코리아 유한책임회사
덩케르크,2017.7.20,24550541348.0,"2,788,732","1,252","65,906","미국,영국",워너브러더스 코리아(주)
엑스맨: 아포칼립스,2016.5.25,24467887950.0,"2,938,818","1,262","66,471",미국,이십세기폭스코리아(주)
슈퍼배드 3,2017.7.26,24217091019.0,"3,324,874","1,057","59,388",미국,유니버설픽쳐스인터내셔널 코리아(유)
스타워즈: 깨어난 포스,2015.12.17,24149478540.0,"2,803,234",940,"56,425",미국,월트디즈니컴퍼니코리아(주)
