영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
블라인드,2011.8.10,"18,390,012,500","2,367,942",404,"49,358",한국,(주)넥스트엔터테인먼트월드(NEW)
7광구,2011.8.4,"19,391,653,500","2,242,510",812,"47,346",한국,(주)씨제이이엔엠
마당을 나온 암탉,2011.7.28,"14,668,226,000","2,201,273",363,"39,224",한국,롯데쇼핑㈜롯데엔터테인먼트
글러브,2011.1.20,"13,756,104,000","1,887,731",605,"44,725",한국,CJ ENM
아이들...,2011.2.17,"13,579,712,500","1,867,849",504,"41,515",한국,롯데쇼핑㈜롯데엔터테인먼트
걸리버 여행기,2011.1.27,"16,441,365,500","1,762,071",527,"41,181",미국,이십세기폭스코리아(주)
평양성,2011.1.27,"12,684,530,500","1,717,566",483,"41,860",한국,롯데쇼핑㈜롯데엔터테인먼트
토르: 천둥의 신,2011.4.28,"15,985,737,000","1,694,562",496,"45,188",미국,(주)씨제이이엔엠
그대를 사랑합니다,2011.2.17,"12,041,827,000","1,645,505",292,"57,869",한국,(주)넥스트엔터테인먼트월드(NEW)
블랙 스완,2011.2.24,"12,484,661,500","1,623,310",344,"46,840",미국,"(주)영화사 그램,이십세기폭스코리아(주)"
분노의 질주: 언리미티드,2011.4.20,"12,292,868,000","1,621,973",457,"43,329",미국,유니버설픽쳐스인터내셔널 코리아(유)
마이 웨이,2011.12.21,"11,813,839,000","1,586,042",645,"29,481",한국,"에스케이플래닛(주),(주)씨제이이엔엠"
브레이킹 던 part1,2011.11.30,"10,692,564,000","1,459,449",636,"43,060",미국,(주)넥스트엔터테인먼트월드(NEW)
신들의 전쟁,2011.11.10,"11,726,682,000","1,338,411",525,"46,169",미국,(주)넥스트엔터테인먼트월드(NEW)
월드 인베이젼,2011.3.10,"9,799,358,000","1,307,873",441,"44,241",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
셜록홈즈 : 그림자 게임,2011.12.21,"9,502,305,000","1,289,857",370,"20,512",미국,워너브러더스 코리아(주)
